ppid	session	trial	feedback	variable	value
10	1	0	cursor	point_err	0.19828025295993457
10	1	1	cursor	point_err	0.13046067412476872
10	1	2	cursor	point_err	0.13069322924772697
10	1	4	cursor	point_err	0.04922321784075817
10	1	5	cursor	point_err	0.0640424355775791
10	1	6	cursor	point_err	0.1520159531139006
10	1	7	cursor	point_err	0.14109374008803505
10	1	8	cursor	point_err	0.08441104311409801
10	1	9	cursor	point_err	0.02821472713020786
10	1	10	cursor	point_err	0.08892329044889705
10	1	11	cursor	point_err	0.09154515773735175
10	1	12	cursor	point_err	0.12682751306290505
10	1	13	cursor	point_err	0.09952545538103515
10	1	14	cursor	point_err	0.10189759911324438
10	1	15	cursor	point_err	0.19817086987951243
10	1	16	cursor	point_err	0.15512075350541937
10	1	17	cursor	point_err	0.1789713896007776
10	2	0	hand	point_err	0.15451530484490913
10	2	1	hand	point_err	0.20590440530436827
10	2	2	hand	point_err	0.4308050929933197
10	2	3	hand	point_err	0.17119845521436045
10	2	4	hand	point_err	0.1770418636804428
10	2	5	hand	point_err	0.16377585151713814
10	2	6	hand	point_err	0.20847637278359896
10	2	7	hand	point_err	0.2704202007911175
10	2	8	hand	point_err	0.22552707479089784
10	2	9	hand	point_err	0.12527654295862028
10	2	10	hand	point_err	0.1357218517440427
10	2	11	hand	point_err	0.15475448017824034
10	2	12	hand	point_err	0.25907555304965607
10	2	13	hand	point_err	0.2673329671235159
10	2	14	hand	point_err	0.14529976715798848
10	2	15	hand	point_err	0.15378416104763779
10	2	17	hand	point_err	0.17158695991486309
10	3	0	none	point_err	0.3445634789215784
10	3	1	none	point_err	0.16133485616971255
10	3	2	none	point_err	0.19301719470029358
10	3	3	none	point_err	0.3018644739998833
10	3	4	none	point_err	0.15183706059048654
10	3	5	none	point_err	0.42037648923473714
10	3	6	none	point_err	0.06388784438148283
10	3	7	none	point_err	0.25752114000480314
10	3	9	none	point_err	0.4021562701986073
10	3	10	none	point_err	0.4585379865028545
10	3	11	none	point_err	0.3769898320769465
10	3	12	none	point_err	0.11781351384138904
10	3	13	none	point_err	0.1379966625461965
10	3	14	none	point_err	0.35609290726515175
10	3	15	none	point_err	0.29490515895689623
10	3	16	none	point_err	0.21117306779355324
10	3	17	none	point_err	0.3456259949289118
11	1	0	cursor	point_err	0.28753808803996667
11	1	1	cursor	point_err	0.07903713370023203
11	1	2	cursor	point_err	0.4271551845075688
11	1	3	cursor	point_err	0.14417694564883457
11	1	4	cursor	point_err	0.13957082465773435
11	1	5	cursor	point_err	0.13910256735305523
11	1	6	cursor	point_err	0.632681649631748
11	1	7	cursor	point_err	0.16362441073558084
11	1	8	cursor	point_err	0.4021884855686627
11	1	9	cursor	point_err	0.4686488882509285
11	1	10	cursor	point_err	0.5794593693492285
11	1	11	cursor	point_err	0.1715212254283295
11	1	12	cursor	point_err	0.43247975455469306
11	1	13	cursor	point_err	0.359197239586133
11	1	14	cursor	point_err	0.1857281664878167
11	1	15	cursor	point_err	0.2210191649469795
11	1	16	cursor	point_err	0.1811570833213601
11	1	17	cursor	point_err	0.11670372500693678
11	2	0	none	point_err	0.8621239767924479
11	2	1	none	point_err	0.22058012559820103
11	2	2	none	point_err	0.3168564260183676
11	2	3	none	point_err	0.5820682079013818
11	2	4	none	point_err	0.4469050775154724
11	2	5	none	point_err	0.4247364132919948
11	2	6	none	point_err	0.4073680473365288
11	2	7	none	point_err	0.7023616599342498
11	2	8	none	point_err	0.5758830667095395
11	2	9	none	point_err	0.49148410889627153
11	2	10	none	point_err	0.5720609211986694
11	2	11	none	point_err	0.4436149385838476
11	2	12	none	point_err	0.5664158873056354
11	2	13	none	point_err	0.6439725555253422
11	2	14	none	point_err	0.2938955523125244
11	2	15	none	point_err	0.14504916100009246
11	2	16	none	point_err	0.49453056493604347
11	2	17	none	point_err	0.17368059097458138
11	3	0	hand	point_err	0.25362516955915637
11	3	1	hand	point_err	0.29476551914937427
11	3	2	hand	point_err	0.30166323606350126
11	3	3	hand	point_err	0.04393196243356081
11	3	4	hand	point_err	0.03433813035615158
11	3	5	hand	point_err	0.34459420157336706
11	3	6	hand	point_err	0.3506050405039531
11	3	7	hand	point_err	0.009614917603315112
11	3	8	hand	point_err	0.2576189170188424
11	3	9	hand	point_err	0.05518950131003528
11	3	10	hand	point_err	0.08501347403231259
11	3	11	hand	point_err	0.37153105172863327
11	3	12	hand	point_err	0.28714607023372424
11	3	13	hand	point_err	0.2523740354384934
11	3	14	hand	point_err	0.22344067639024548
11	3	15	hand	point_err	0.33939465324342616
11	3	16	hand	point_err	0.35141622506141773
11	3	17	hand	point_err	0.034614407675885715
12	1	0	none	point_err	0.36980693460664593
12	1	1	none	point_err	0.7536111337213093
12	1	2	none	point_err	0.7125616781898967
12	1	3	none	point_err	0.41453699530364213
12	1	4	none	point_err	0.5046521043693013
12	1	5	none	point_err	0.6747194225803397
12	1	6	none	point_err	0.7407412918306922
12	1	7	none	point_err	0.6219530625123281
12	1	8	none	point_err	0.38172066261126963
12	1	11	none	point_err	0.6001338666610476
12	1	12	none	point_err	0.5178511481193456
12	1	13	none	point_err	0.736227497238001
12	1	14	none	point_err	0.7078334364338047
12	1	15	none	point_err	0.48306488511073814
12	1	17	none	point_err	0.5927586144624678
12	2	0	cursor	point_err	0.1538746789241808
12	2	1	cursor	point_err	0.1311367355463848
12	2	2	cursor	point_err	0.12493786414206284
12	2	3	cursor	point_err	0.08806533918250653
12	2	4	cursor	point_err	0.17329375988017168
12	2	5	cursor	point_err	0.14629129499585342
12	2	6	cursor	point_err	0.14961969823558247
12	2	7	cursor	point_err	0.2362276979284739
12	2	8	cursor	point_err	0.15332041500502883
12	2	9	cursor	point_err	0.17786888451296537
12	2	10	cursor	point_err	0.13225209811779415
12	2	11	cursor	point_err	0.23270016304763852
12	2	12	cursor	point_err	0.22024275342126326
12	2	13	cursor	point_err	0.15832409142569015
12	2	14	cursor	point_err	0.15299234540732376
12	2	15	cursor	point_err	0.17547470130734846
12	2	16	cursor	point_err	0.2072371531604022
12	2	17	cursor	point_err	0.15271941888725513
12	3	0	hand	point_err	0.28515410985486334
12	3	1	hand	point_err	0.4865151169258815
12	3	2	hand	point_err	0.43965477960853366
12	3	3	hand	point_err	0.4054957978478655
12	3	4	hand	point_err	0.587675686966314
